product_category_name,revenue,number_of_orders
beleza_saude,1233131.72,8647
relogios_presentes,1166176.98,5495
cama_mesa_banho,1023434.76,9272
esporte_lazer,954852.55,7530
informatica_acessorios,888724.61,6530
moveis_decoracao,711927.69,6307
utilidades_domesticas,615628.69,5743
cool_stuff,610204.10,3559
automotivo,578966.65,3810
brinquedos,471286.48,3804
ferramentas_jardim,470495.28,3448
bebes,400421.84,2809
perfumaria,390144.65,3086
telefonia,309860.23,4093
moveis_escritorio,268154.31,1254
papelaria,223788.69,2264
pcs,218684.14,177
pet_shop,211695.64,1688
instrumentos_musicais,184315.74,611
eletroportateis,182754.12,609
UNKNOWN,170726.63,1392
eletronicos,155043.93,2517
fashion_bolsas_e_acessorios,149329.39,1820
consoles_games,148003.37,1018
construcao_ferramentas_construcao,142108.49,736
malas_acessorios,138701.63,1019
eletrodomesticos_2,107953.95,227
casa_construcao,81407.57,483
eletrodomesticos,78832.48,747
agro_industria_e_comercio,70566.10,177
moveis_sala,67350.70,414
casa_conforto,58008.45,392
telefonia_fixa,55315.21,212
climatizacao,53323.56,246
audio,50570.60,348
portateis_casa_forno_e_cafe,46589.56,72
moveis_cozinha_area_de_servico_jantar_e_jardim,45531.98,241
livros_interesse_geral,45302.15,496
construcao_ferramentas_iluminacao,39957.00,242
construcao_ferramentas_seguranca,38773.22,159
industria_comercio_e_negocios,38498.81,232
alimentos,28731.15,441
market_place,27795.77,274
construcao_ferramentas_jardim,25096.28,190
artes,23657.30,195
fashion_calcados,23001.46,235
bebidas,21529.84,287
sinalizacao_e_seguranca,21315.05,138
moveis_quarto,19051.80,90
livros_tecnicos,18702.23,256
construcao_ferramentas_ferramentas,15903.95,97
alimentos_bebidas,14942.88,221
fashion_roupa_masculina,10452.33,106
fashion_underwear_e_moda_praia,9305.95,117
artigos_de_natal,8737.84,125
tablets_impressao_imagem,7528.41,79
cine_foto,6674.47,63
musica,6034.35,38
dvds_blu_ray,4542.59,56
artigos_de_festas,4465.19,38
livros_importados,4418.86,50
moveis_colchao_e_estofado,4323.38,37
portateis_cozinha_e_preparadores_de_alimentos,3933.63,13
fashion_roupa_feminina,2634.94,36
fashion_esporte,2094.52,26
la_cuisine,2054.99,13
artes_e_artesanato,1814.01,23
fraldas_higiene,1500.79,25
pc_gamer,1306.95,7
flores,1110.04,29
casa_conforto_2,760.27,24
cds_dvds_musicais,730.00,12
fashion_roupa_infanto_juvenil,519.95,7
seguros_e_servicos,283.29,2
