customer_unique_id,cluster,recency,frequency,monetary,freight_value,shipping_time,churn_risk_score
000a5ad9c4601d2bbdd9ed765d5213b3,At Risk,383,1,76.99,14.29,11.0,1.0
ffe9102bb78a76921ba0ff3c4659616a,At Risk,446,1,385.26,31.1,10.0,1.0
ffffd2657e2aad2907e67c3e9daecbeb,At Risk,483,1,56.99,14.57,7.0,1.0
0000f46a3911fa3c0805444483337064,At Risk,536,1,69.0,17.22,25.0,1.0
ffe8f2fc0cee48f79934bd2c506fafc0,At Risk,392,1,89.99,21.43,15.0,1.0
0010a452c6d13139e50b57f19f52e04e,At Risk,414,1,299.0,26.93,14.0,1.0
0005e1862207bf6ccc02e4228effd9a0,At Risk,542,1,135.0,15.12,4.0,1.0
001a2bf0e46c684031af91fb2bce149d,At Risk,425,1,24.88,11.85,3.0,1.0
00191a9719ef48ebb5860b130347bf33,At Risk,497,1,47.9,10.96,15.0,1.0
0011c98589159d6149979563c504cb21,At Risk,389,1,99.99,17.95,11.0,1.0
0011857aff0e5871ce5eb429f21cdaf5,At Risk,427,1,174.33,18.5,8.0,1.0
0011805441c0d1b68b48002f1d005526,At Risk,492,1,269.0,28.14,18.0,1.0
00115fc7123b5310cf6d3a3aa932699e,At Risk,584,1,59.99,16.12,10.0,1.0
0006fdc98a402fceb4eb0ee528f6a8d4,At Risk,407,1,13.9,15.1,16.0,1.0
9601cd789a0c7e8fc3892166496c781b,At Risk,536,1,49.9,14.52,11.0,1.0
960118b2d734220509690e16787f955e,Champions,514,2,40.099999999999994,10.96,25.0,1.0
95ffcfce436c8486268d9602aa865d0a,At Risk,473,1,105.0,17.17,12.0,1.0
95fc53188be72ccacf7e9f211d76cb4c,At Risk,423,1,69.9,11.99,10.0,1.0
96230c6da5f5896bb28ee028624c1188,At Risk,569,1,30.0,14.52,44.0,1.0
9622a5e690173e69309e964cdec06605,At Risk,392,1,75.0,24.98,13.0,1.0
9620e26af0dfec5a16a52cd2afa81717,Champions,386,2,239.98000000000002,17.335,7.0,1.0
0059acd36094bf670ec8b21be6c0044c,At Risk,442,1,29.9,16.79,9.0,1.0
