year_month,total_sales,total_orders,total_customers,total_freight,churned_customers,churn_rate
2016-09,134.97,1,1,8.49,1.0,100.0
2016-10,40325.11,265,262,6165.55,253.0,100.0
2016-12,10.9,1,1,8.72,0.0,0.0
2017-01,111798.36,750,718,15684.01,688.0,100.0
2017-02,234223.4,1653,1630,37015.92,1584.0,100.0
2017-03,359198.85,2546,2508,55132.1,2422.0,100.0
2017-04,340669.68,2303,2274,50142.72,2195.0,100.0
2017-05,489159.25,3545,3478,77498.15,3351.0,100.0
2017-06,421923.37,3135,3076,68127.0,2963.0,100.0
2017-07,481604.52,3872,3802,84694.56,3679.0,100.0
2017-08,554699.7,4193,4114,91132.66,3974.0,100.0
2017-09,607399.67,4150,4083,93677.82,3949.0,100.0
2017-10,648247.65,4478,4417,102869.36,4298.0,100.0
2017-11,987648.07,7288,7182,165581.3,7031.0,100.0
2017-12,726033.1900000001,5513,5450,117045.1,5356.0,100.0
2018-01,924645.0,7069,6974,153242.46,4765.0,69.6739289369791
2018-02,826437.13,6555,6400,139731.28,0.0,0.0
2018-03,953356.25,7003,6914,167241.99,0.0,0.0
2018-04,973534.09,6798,6744,159344.84,0.0,0.0
2018-05,977544.6900000001,6749,6693,151229.83,0.0,0.0
2018-06,855591.97,6096,6058,155856.99,0.0,0.0
2018-07,867486.47,6156,6097,159800.05,0.0,0.0
2018-08,838576.64,6351,6310,146915.0,0.0,0.0
